Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative,ID,Name,Description,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
qː,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517,8E0A811394AB18A49D7448F524FB77E0,qː,LATIN SMALL LETTER Q - MODIFIER LETTER TRIANGULAR COLON,consonant,0,-,-,-,+,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
ɡ̤,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517,99BEFB40F8A6555031418CD050561EEE,ɡ̤,LATIN SMALL LETTER SCRIPT G - COMBINING DIAERESIS BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,+,-,+,-,-,-,-,-
mbʷ,0.0718908922792418,14,0.006430868167202572,1,0.00045934772622875517,DCA95603F25D35DC7849C173B1B63642,mbʷ,LATIN SMALL LETTER M - LATIN SMALL LETTER B - MODIFIER LETTER SMALL W,consonant,0,-,-,-,-,+,"+,-",-,-,-,-,-,"+,-",-,+,"-,+",-,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
d̠ʒ,0.07081977878985037,640,0.2939825447864033,32,0.014699127239320165,C7364BE7F76504D8DE329FFF30C42424,d̠ʒ,LATIN SMALL LETTER D - COMBINING MINUS SIGN BELOW - LATIN SMALL LETTER EZH,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
v,0.07011490670323733,617,0.28341754708314193,31,0.01423977951309141,033ACAA664F151FC56BC9595526BCFA4,v,LATIN SMALL LETTER V,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
d,0.06982511225902292,1097,0.5039044556729444,38,0.017455213596692696,E6253384902D489FDB1FE487B7ED4AB2,d,LATIN SMALL LETTER D,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
fʲ,0.06759819903741654,30,0.013780431786862656,2,0.0009186954524575103,94AD2B51FB011E032DC3E695DB412F3D,fʲ,LATIN SMALL LETTER F - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
x,0.06598551167910767,411,0.18879191548001836,22,0.010105649977032614,F62AFB705D2A2D30BB41CF3FBE917891,x,LATIN SMALL LETTER X,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,0,0,-,-,-,-,-,-,-,-
ʎ,0.06538322921672272,96,0.044097381717960495,6,0.002756086357372531,1C7F2960BE4EDD840C01C94930F1D932,ʎ,LATIN SMALL LETTER TURNED Y,consonant,0,-,-,-,-,+,+,+,0,+,-,-,-,+,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-
h,0.06402376260918154,1258,0.577859439595774,34,0.015617822691777675,E7FBD92350B3CA8B7B5D77E36A607068,h,LATIN SMALL LETTER H,consonant,0,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,-,0,0,0,0,0,0,0,-,-,+,-,-,-,-,-
ɹ,0.06390911225927665,48,0.022048690858980247,3,0.0013780431786862655,BF93B485560325B98EACB69D278AD493,ɹ,LATIN SMALL LETTER TURNED R,consonant,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,+,-,+,-,-,0,0,0,0,0,0,0,+,-,-,-,-,-,-,-
ʃ,0.06385978421289039,782,0.3592099219108865,32,0.014699127239320165,9E7CDEEE9F0DE43C10181AE483F62CBD,ʃ,LATIN SMALL LETTER ESH,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-
tsʲ,0.062962748727441,16,0.007349563619660083,1,0.00045934772622875517,BD5DD0B4F35DA44F05B251A09476EADF,tsʲ,LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL J,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-
d̤,0.062962748727441,16,0.007349563619660083,1,0.00045934772622875517,F52FDCB8A1E6B74B993DE6E648C10637,d̤,LATIN SMALL LETTER D - COMBINING DIAERESIS BELOW,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,-,-,-,0,0,0,0,0,0,0,+,-,+,-,-,-,-,-
χ,0.06141967761957605,158,0.07257694074414332,9,0.004134129536058797,24934115EB451EB20C91AC9D2AD62537,χ,GREEK SMALL LETTER CHI,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-
