Segment,Borrowability,PHOIBLE_frequency_absolute,PHOIBLE_frequency_relative,SEGBO_frequency_absolute,SEGBO_frequency_relative
pʲ,0.018328618576143325,56,0.02572347266881029,1,0.00045934772622875517
hʷ,0.018328618576143325,56,0.02572347266881029,1,0.00045934772622875517
pʼ,0.018064890880424865,117,0.053743683968764354,2,0.0009186954524575103
qʼ,0.017421296074006498,59,0.027101515847496555,1,0.00045934772622875517
n̠d̠ʒ,0.01736667863268318,122,0.05604042259990813,2,0.0009186954524575103
ɬ,0.017103216378863348,124,0.05695911805236564,2,0.0009186954524575103
c,0.017022441160372194,350,0.1607717041800643,5,0.0022967386311437757
l̥,0.01686603241501131,61,0.028020211299954065,1,0.00045934772622875517
ʑ,0.016601845496835202,62,0.02847955902618282,1,0.00045934772622875517
ɽ,0.015369843477524164,139,0.06384933394579696,2,0.0009186954524575103
oː,0.015199648111040517,518,0.2379421221864952,6,0.002756086357372531
ʂ,0.014969298155138864,143,0.06568672485071199,2,0.0009186954524575103
ʐ,0.014760322733744662,70,0.03215434083601286,1,0.00045934772622875517
au,0.014363948271311692,72,0.03307303628847037,1,0.00045934772622875517
cʰ,0.013633858563591275,76,0.03491042719338539,1,0.00045934772622875517
ɛ,0.013449230236983222,861,0.3954983922829582,7,0.003215434083601286
ɲ,0.01300819809268864,973,0.44694533762057875,7,0.003215434083601286
pʰ,0.012778783814323154,379,0.1740927882406982,4,0.0018373909049150207
ɔː,0.01272474340090248,269,0.12356453835553514,3,0.0013780431786862655
ə,0.012422225569813247,533,0.2448323380799265,5,0.0022967386311437757
ʈʰ,0.012382544991240644,84,0.03858520900321544,1,0.00045934772622875517
ɑ,0.011873077510416894,184,0.08451998162609095,2,0.0009186954524575103
u,0.011814826875067843,1992,0.9150206706476803,2,0.0009186954524575103
ɔ,0.011727314353435506,822,0.3775838309600367,6,0.002756086357372531
ɹ̺,0.01171488225924491,89,0.04088194763435921,1,0.00045934772622875517
ɕ,0.011590267795346856,90,0.04134129536058796,1,0.00045934772622875517
ɟ,0.011254019292604502,311,0.14285714285714285,3,0.0013780431786862655
d̪,0.010768840111332428,328,0.1506660542030317,3,0.0013780431786862655
əː,0.010481463649494463,100,0.045934772622875514,1,0.00045934772622875517
ʁ,0.010285849279470823,102,0.04685346807533303,1,0.00045934772622875517
eː,0.010001470128820038,528,0.24253559944878272,4,0.0018373909049150207
t̪,0.009707915273132665,552,0.2535599448782728,4,0.0018373909049150207
cç,0.0093340536461549,113,0.051906293063849335,1,0.00045934772622875517
kʰ,0.009333733493397358,392,0.18006430868167203,3,0.0013780431786862655
ʌ,0.009256660798870662,114,0.05236564079007809,1,0.00045934772622875517
ç,0.008750844132874554,121,0.05558107487367937,1,0.00045934772622875517
t̠ʃʼ,0.008487329434697856,125,0.0574184657785944,1,0.00045934772622875517
ɛː,0.008350242222230745,274,0.12586127698667893,2,0.0009186954524575103
ɭ,0.007910323026052832,292,0.13412953605879652,2,0.0009186954524575103
tʰ,0.007732196767892027,300,0.13780431786862654,2,0.0009186954524575103
kp,0.0075635974512379,308,0.1414790996784566,2,0.0009186954524575103
ɳ,0.007384417082188528,317,0.1456132292145154,2,0.0009186954524575103
n,0.007108107225650572,1845,0.8474965548920533,2,0.0009186954524575103
